,method,subject,frequency,accuracy
0,csp,s03.csv,13.5,0.786875
1,csp,s04.csv,12.5,0.6287499999999999
2,csp,s05.csv,7.0,0.6649999999999999
3,csp,s06.csv,7.0,0.8070422535211268
4,csp,s09.csv,15.0,0.6395833333333333
5,csp,s10.csv,11.5,0.698125
6,csp,s11.csv,15.0,0.6125
7,csp,s12.csv,11.5,0.6614285714285714
8,csp,s14.csv,10.5,0.7887500000000001
9,csp,s15.csv,12.5,0.6697368421052632
10,combined,s20.csv,10.5,0.6676470588235295
11,csp,s21.csv,13.5,0.6224999999999999
12,csp,s22.csv,10.5,0.65625
13,csp,s23.csv,13.5,0.670253164556962
14,csp,s25.csv,12.5,0.6192307692307693
15,csp,s26.csv,13.5,0.6474683544303798
16,combined,s29.csv,4.5,0.9111111111111111
17,combined,s34.csv,14.5,0.75
18,csp,s35.csv,14.5,0.655
19,combined,s37.csv,7.0,0.6
20,csp,s41.csv,12.5,0.70125
21,csp,s43.csv,15.0,0.6975
22,csp,s47.csv,4.5,0.6103896103896104
23,csp,s48.csv,13.5,0.66625
24,csp,s50.csv,4.5,0.6925
25,csp,s52.csv,10.5,0.6
