,accuracy,frequency,configuration,frequency_start,frequency_end,subject,classifier
0,0.55,4.5,1Hz width 11 channels,4,5,01,csp
1,0.575,4.5,1Hz width 11 channels,4,5,01,csp
2,0.5125,4.5,1Hz width 11 channels,4,5,01,csp
3,0.5,4.5,1Hz width 11 channels,4,5,01,csp
4,0.5,4.5,1Hz width 11 channels,4,5,01,csp
5,0.5,4.5,1Hz width 11 channels,4,5,01,csp
6,0.4875,4.5,1Hz width 11 channels,4,5,01,csp
7,0.525,4.5,1Hz width 11 channels,4,5,01,csp
8,0.45,4.5,1Hz width 11 channels,4,5,01,csp
9,0.525,4.5,1Hz width 11 channels,4,5,01,csp
10,0.5375,5.5,1Hz width 11 channels,5,6,01,csp
11,0.475,5.5,1Hz width 11 channels,5,6,01,csp
12,0.5125,5.5,1Hz width 11 channels,5,6,01,csp
13,0.45,5.5,1Hz width 11 channels,5,6,01,csp
14,0.5,5.5,1Hz width 11 channels,5,6,01,csp
15,0.5625,5.5,1Hz width 11 channels,5,6,01,csp
16,0.55,5.5,1Hz width 11 channels,5,6,01,csp
17,0.55,5.5,1Hz width 11 channels,5,6,01,csp
18,0.4375,5.5,1Hz width 11 channels,5,6,01,csp
19,0.55,5.5,1Hz width 11 channels,5,6,01,csp
20,0.5625,6.5,1Hz width 11 channels,6,7,01,csp
21,0.575,6.5,1Hz width 11 channels,6,7,01,csp
22,0.55,6.5,1Hz width 11 channels,6,7,01,csp
23,0.425,6.5,1Hz width 11 channels,6,7,01,csp
24,0.575,6.5,1Hz width 11 channels,6,7,01,csp
25,0.5125,6.5,1Hz width 11 channels,6,7,01,csp
26,0.525,6.5,1Hz width 11 channels,6,7,01,csp
27,0.5125,6.5,1Hz width 11 channels,6,7,01,csp
28,0.425,6.5,1Hz width 11 channels,6,7,01,csp
29,0.4625,6.5,1Hz width 11 channels,6,7,01,csp
30,0.4625,7.5,1Hz width 11 channels,7,8,01,csp
31,0.5,7.5,1Hz width 11 channels,7,8,01,csp
32,0.45,7.5,1Hz width 11 channels,7,8,01,csp
33,0.4375,7.5,1Hz width 11 channels,7,8,01,csp
34,0.525,7.5,1Hz width 11 channels,7,8,01,csp
35,0.55,7.5,1Hz width 11 channels,7,8,01,csp
36,0.55,7.5,1Hz width 11 channels,7,8,01,csp
37,0.45,7.5,1Hz width 11 channels,7,8,01,csp
38,0.45,7.5,1Hz width 11 channels,7,8,01,csp
39,0.575,7.5,1Hz width 11 channels,7,8,01,csp
40,0.4875,8.5,1Hz width 11 channels,8,9,01,csp
41,0.5625,8.5,1Hz width 11 channels,8,9,01,csp
42,0.475,8.5,1Hz width 11 channels,8,9,01,csp
43,0.4875,8.5,1Hz width 11 channels,8,9,01,csp
44,0.5,8.5,1Hz width 11 channels,8,9,01,csp
45,0.575,8.5,1Hz width 11 channels,8,9,01,csp
46,0.6375,8.5,1Hz width 11 channels,8,9,01,csp
47,0.575,8.5,1Hz width 11 channels,8,9,01,csp
48,0.5,8.5,1Hz width 11 channels,8,9,01,csp
49,0.5625,8.5,1Hz width 11 channels,8,9,01,csp
50,0.55,9.5,1Hz width 11 channels,9,10,01,csp
51,0.5875,9.5,1Hz width 11 channels,9,10,01,csp
52,0.55,9.5,1Hz width 11 channels,9,10,01,csp
53,0.5625,9.5,1Hz width 11 channels,9,10,01,csp
54,0.525,9.5,1Hz width 11 channels,9,10,01,csp
55,0.6,9.5,1Hz width 11 channels,9,10,01,csp
56,0.625,9.5,1Hz width 11 channels,9,10,01,csp
57,0.6375,9.5,1Hz width 11 channels,9,10,01,csp
58,0.55,9.5,1Hz width 11 channels,9,10,01,csp
59,0.5125,9.5,1Hz width 11 channels,9,10,01,csp
60,0.5375,10.5,1Hz width 11 channels,10,11,01,csp
61,0.5625,10.5,1Hz width 11 channels,10,11,01,csp
62,0.6125,10.5,1Hz width 11 channels,10,11,01,csp
63,0.5375,10.5,1Hz width 11 channels,10,11,01,csp
64,0.5375,10.5,1Hz width 11 channels,10,11,01,csp
65,0.6375,10.5,1Hz width 11 channels,10,11,01,csp
66,0.6125,10.5,1Hz width 11 channels,10,11,01,csp
67,0.65,10.5,1Hz width 11 channels,10,11,01,csp
68,0.6125,10.5,1Hz width 11 channels,10,11,01,csp
69,0.525,10.5,1Hz width 11 channels,10,11,01,csp
70,0.5375,11.5,1Hz width 11 channels,11,12,01,csp
71,0.6,11.5,1Hz width 11 channels,11,12,01,csp
72,0.5875,11.5,1Hz width 11 channels,11,12,01,csp
73,0.575,11.5,1Hz width 11 channels,11,12,01,csp
74,0.5375,11.5,1Hz width 11 channels,11,12,01,csp
75,0.65,11.5,1Hz width 11 channels,11,12,01,csp
76,0.6625,11.5,1Hz width 11 channels,11,12,01,csp
77,0.6375,11.5,1Hz width 11 channels,11,12,01,csp
78,0.625,11.5,1Hz width 11 channels,11,12,01,csp
79,0.6125,11.5,1Hz width 11 channels,11,12,01,csp
80,0.575,12.5,1Hz width 11 channels,12,13,01,csp
81,0.45,12.5,1Hz width 11 channels,12,13,01,csp
82,0.5,12.5,1Hz width 11 channels,12,13,01,csp
83,0.575,12.5,1Hz width 11 channels,12,13,01,csp
84,0.4875,12.5,1Hz width 11 channels,12,13,01,csp
85,0.575,12.5,1Hz width 11 channels,12,13,01,csp
86,0.4875,12.5,1Hz width 11 channels,12,13,01,csp
87,0.5625,12.5,1Hz width 11 channels,12,13,01,csp
88,0.5375,12.5,1Hz width 11 channels,12,13,01,csp
89,0.5625,12.5,1Hz width 11 channels,12,13,01,csp
90,0.525,13.5,1Hz width 11 channels,13,14,01,csp
91,0.55,13.5,1Hz width 11 channels,13,14,01,csp
92,0.5375,13.5,1Hz width 11 channels,13,14,01,csp
93,0.575,13.5,1Hz width 11 channels,13,14,01,csp
94,0.5125,13.5,1Hz width 11 channels,13,14,01,csp
95,0.5125,13.5,1Hz width 11 channels,13,14,01,csp
96,0.5625,13.5,1Hz width 11 channels,13,14,01,csp
97,0.525,13.5,1Hz width 11 channels,13,14,01,csp
98,0.4875,13.5,1Hz width 11 channels,13,14,01,csp
99,0.55,13.5,1Hz width 11 channels,13,14,01,csp
100,0.55,14.5,1Hz width 11 channels,14,15,01,csp
101,0.6,14.5,1Hz width 11 channels,14,15,01,csp
102,0.4875,14.5,1Hz width 11 channels,14,15,01,csp
103,0.5375,14.5,1Hz width 11 channels,14,15,01,csp
104,0.575,14.5,1Hz width 11 channels,14,15,01,csp
105,0.525,14.5,1Hz width 11 channels,14,15,01,csp
106,0.4625,14.5,1Hz width 11 channels,14,15,01,csp
107,0.525,14.5,1Hz width 11 channels,14,15,01,csp
108,0.5,14.5,1Hz width 11 channels,14,15,01,csp
109,0.525,14.5,1Hz width 11 channels,14,15,01,csp
110,0.5,15.5,1Hz width 11 channels,15,16,01,csp
111,0.6,15.5,1Hz width 11 channels,15,16,01,csp
112,0.55,15.5,1Hz width 11 channels,15,16,01,csp
113,0.5,15.5,1Hz width 11 channels,15,16,01,csp
114,0.55,15.5,1Hz width 11 channels,15,16,01,csp
115,0.5875,15.5,1Hz width 11 channels,15,16,01,csp
116,0.4875,15.5,1Hz width 11 channels,15,16,01,csp
117,0.4875,15.5,1Hz width 11 channels,15,16,01,csp
118,0.6,15.5,1Hz width 11 channels,15,16,01,csp
119,0.575,15.5,1Hz width 11 channels,15,16,01,csp
120,0.5,5.5,3Hz width 11 channels,4,7,01,csp
121,0.625,5.5,3Hz width 11 channels,4,7,01,csp
122,0.4375,5.5,3Hz width 11 channels,4,7,01,csp
123,0.5375,5.5,3Hz width 11 channels,4,7,01,csp
124,0.5,5.5,3Hz width 11 channels,4,7,01,csp
125,0.475,5.5,3Hz width 11 channels,4,7,01,csp
126,0.525,5.5,3Hz width 11 channels,4,7,01,csp
127,0.575,5.5,3Hz width 11 channels,4,7,01,csp
128,0.5375,5.5,3Hz width 11 channels,4,7,01,csp
129,0.575,5.5,3Hz width 11 channels,4,7,01,csp
130,0.4875,7.5,3Hz width 11 channels,6,9,01,csp
131,0.525,7.5,3Hz width 11 channels,6,9,01,csp
132,0.4625,7.5,3Hz width 11 channels,6,9,01,csp
133,0.425,7.5,3Hz width 11 channels,6,9,01,csp
134,0.5,7.5,3Hz width 11 channels,6,9,01,csp
135,0.525,7.5,3Hz width 11 channels,6,9,01,csp
136,0.5625,7.5,3Hz width 11 channels,6,9,01,csp
137,0.575,7.5,3Hz width 11 channels,6,9,01,csp
138,0.6125,7.5,3Hz width 11 channels,6,9,01,csp
139,0.5125,7.5,3Hz width 11 channels,6,9,01,csp
140,0.525,9.5,3Hz width 11 channels,8,11,01,csp
141,0.4875,9.5,3Hz width 11 channels,8,11,01,csp
142,0.5375,9.5,3Hz width 11 channels,8,11,01,csp
143,0.5375,9.5,3Hz width 11 channels,8,11,01,csp
144,0.4625,9.5,3Hz width 11 channels,8,11,01,csp
145,0.6125,9.5,3Hz width 11 channels,8,11,01,csp
146,0.6,9.5,3Hz width 11 channels,8,11,01,csp
147,0.675,9.5,3Hz width 11 channels,8,11,01,csp
148,0.5625,9.5,3Hz width 11 channels,8,11,01,csp
149,0.4875,9.5,3Hz width 11 channels,8,11,01,csp
150,0.5375,11.5,3Hz width 11 channels,10,13,01,csp
