,participant,filepath,accuracy,frequency,configuration,frequency_start,frequency_end
0,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,2.5,1Hz width 11 channels,2,3
1,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,2.5,1Hz width 11 channels,2,3
2,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,2.5,1Hz width 11 channels,2,3
3,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,2.5,1Hz width 11 channels,2,3
4,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,2.5,1Hz width 11 channels,2,3
5,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,2.5,1Hz width 11 channels,2,3
6,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,2.5,1Hz width 11 channels,2,3
7,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,2.5,1Hz width 11 channels,2,3
8,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,2.5,1Hz width 11 channels,2,3
9,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,2.5,1Hz width 11 channels,2,3
10,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,3.5,1Hz width 11 channels,3,4
11,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,3.5,1Hz width 11 channels,3,4
12,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,3.5,1Hz width 11 channels,3,4
13,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,3.5,1Hz width 11 channels,3,4
14,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,3.5,1Hz width 11 channels,3,4
15,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,3.5,1Hz width 11 channels,3,4
16,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,3.5,1Hz width 11 channels,3,4
17,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,3.5,1Hz width 11 channels,3,4
18,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,3.5,1Hz width 11 channels,3,4
19,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,3.5,1Hz width 11 channels,3,4
20,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,4.5,1Hz width 11 channels,4,5
21,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,4.5,1Hz width 11 channels,4,5
22,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,4.5,1Hz width 11 channels,4,5
23,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,4.5,1Hz width 11 channels,4,5
24,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,4.5,1Hz width 11 channels,4,5
25,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,4.5,1Hz width 11 channels,4,5
26,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,4.5,1Hz width 11 channels,4,5
27,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,4.5,1Hz width 11 channels,4,5
28,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,4.5,1Hz width 11 channels,4,5
29,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,4.5,1Hz width 11 channels,4,5
30,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,5.5,1Hz width 11 channels,5,6
31,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,5.5,1Hz width 11 channels,5,6
32,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,5.5,1Hz width 11 channels,5,6
33,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,5.5,1Hz width 11 channels,5,6
34,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,5.5,1Hz width 11 channels,5,6
35,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,5.5,1Hz width 11 channels,5,6
36,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,5.5,1Hz width 11 channels,5,6
37,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,5.5,1Hz width 11 channels,5,6
38,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,5.5,1Hz width 11 channels,5,6
39,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,5.5,1Hz width 11 channels,5,6
40,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,6.5,1Hz width 11 channels,6,7
41,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,6.5,1Hz width 11 channels,6,7
42,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,6.5,1Hz width 11 channels,6,7
43,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,6.5,1Hz width 11 channels,6,7
44,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,6.5,1Hz width 11 channels,6,7
45,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,6.5,1Hz width 11 channels,6,7
46,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,6.5,1Hz width 11 channels,6,7
47,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,6.5,1Hz width 11 channels,6,7
48,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,6.5,1Hz width 11 channels,6,7
49,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,6.5,1Hz width 11 channels,6,7
50,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,7.5,1Hz width 11 channels,7,8
51,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,7.5,1Hz width 11 channels,7,8
52,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,7.5,1Hz width 11 channels,7,8
53,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,7.5,1Hz width 11 channels,7,8
54,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,7.5,1Hz width 11 channels,7,8
55,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,7.5,1Hz width 11 channels,7,8
56,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,7.5,1Hz width 11 channels,7,8
57,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,7.5,1Hz width 11 channels,7,8
58,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,7.5,1Hz width 11 channels,7,8
59,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,7.5,1Hz width 11 channels,7,8
60,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,8.5,1Hz width 11 channels,8,9
61,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,8.5,1Hz width 11 channels,8,9
62,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,8.5,1Hz width 11 channels,8,9
63,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,8.5,1Hz width 11 channels,8,9
64,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,8.5,1Hz width 11 channels,8,9
65,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,8.5,1Hz width 11 channels,8,9
66,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,8.5,1Hz width 11 channels,8,9
67,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,8.5,1Hz width 11 channels,8,9
68,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,8.5,1Hz width 11 channels,8,9
69,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,8.5,1Hz width 11 channels,8,9
70,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,9.5,1Hz width 11 channels,9,10
71,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,9.5,1Hz width 11 channels,9,10
72,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,9.5,1Hz width 11 channels,9,10
73,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,9.5,1Hz width 11 channels,9,10
74,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,9.5,1Hz width 11 channels,9,10
75,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,9.5,1Hz width 11 channels,9,10
76,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,9.5,1Hz width 11 channels,9,10
77,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,9.5,1Hz width 11 channels,9,10
78,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,9.5,1Hz width 11 channels,9,10
79,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,9.5,1Hz width 11 channels,9,10
80,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,10.5,1Hz width 11 channels,10,11
81,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,10.5,1Hz width 11 channels,10,11
82,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,10.5,1Hz width 11 channels,10,11
83,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,10.5,1Hz width 11 channels,10,11
84,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,10.5,1Hz width 11 channels,10,11
85,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,10.5,1Hz width 11 channels,10,11
86,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,10.5,1Hz width 11 channels,10,11
87,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,10.5,1Hz width 11 channels,10,11
88,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,10.5,1Hz width 11 channels,10,11
89,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,10.5,1Hz width 11 channels,10,11
90,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
91,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
92,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
93,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,11.5,1Hz width 11 channels,11,12
94,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
95,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,11.5,1Hz width 11 channels,11,12
96,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,11.5,1Hz width 11 channels,11,12
97,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
98,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,11.5,1Hz width 11 channels,11,12
99,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,11.5,1Hz width 11 channels,11,12
100,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
101,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,12.5,1Hz width 11 channels,12,13
102,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,12.5,1Hz width 11 channels,12,13
