accuracy,frequency,configuration,frequency_start,frequency_end
0.5,4.5,1Hz width 11 channels,4,5
0.5882352941176471,4.5,1Hz width 11 channels,4,5
0.5882352941176471,4.5,1Hz width 11 channels,4,5
0.5882352941176471,4.5,1Hz width 11 channels,4,5
0.6176470588235294,4.5,1Hz width 11 channels,4,5
0.5,5.5,1Hz width 11 channels,5,6
0.5882352941176471,5.5,1Hz width 11 channels,5,6
0.5882352941176471,5.5,1Hz width 11 channels,5,6
0.5294117647058824,5.5,1Hz width 11 channels,5,6
0.5294117647058824,5.5,1Hz width 11 channels,5,6
0.5294117647058824,6.5,1Hz width 11 channels,6,7
0.6176470588235294,6.5,1Hz width 11 channels,6,7
0.6764705882352942,6.5,1Hz width 11 channels,6,7
0.4117647058823529,6.5,1Hz width 11 channels,6,7
0.6176470588235294,6.5,1Hz width 11 channels,6,7
0.6176470588235294,7.5,1Hz width 11 channels,7,8
0.6764705882352942,7.5,1Hz width 11 channels,7,8
0.5882352941176471,7.5,1Hz width 11 channels,7,8
0.5588235294117647,7.5,1Hz width 11 channels,7,8
0.5294117647058824,7.5,1Hz width 11 channels,7,8
0.5588235294117647,8.5,1Hz width 11 channels,8,9
0.5,8.5,1Hz width 11 channels,8,9
0.6470588235294118,8.5,1Hz width 11 channels,8,9
0.6764705882352942,8.5,1Hz width 11 channels,8,9
0.5294117647058824,8.5,1Hz width 11 channels,8,9
0.5882352941176471,9.5,1Hz width 11 channels,9,10
0.6470588235294118,9.5,1Hz width 11 channels,9,10
0.6470588235294118,9.5,1Hz width 11 channels,9,10
0.6764705882352942,9.5,1Hz width 11 channels,9,10
0.5,9.5,1Hz width 11 channels,9,10
0.6470588235294118,10.5,1Hz width 11 channels,10,11
0.6176470588235294,10.5,1Hz width 11 channels,10,11
0.6176470588235294,10.5,1Hz width 11 channels,10,11
0.5588235294117647,10.5,1Hz width 11 channels,10,11
0.5588235294117647,10.5,1Hz width 11 channels,10,11
0.5588235294117647,11.5,1Hz width 11 channels,11,12
0.7058823529411765,11.5,1Hz width 11 channels,11,12
