,accuracy,frequency,configuration,frequency_start,frequency_end
0,0.6625,4.5,1Hz width 11 channels,4,5
1,0.675,4.5,1Hz width 11 channels,4,5
2,0.625,4.5,1Hz width 11 channels,4,5
3,0.7125,4.5,1Hz width 11 channels,4,5
4,0.6375,4.5,1Hz width 11 channels,4,5
5,0.675,4.5,1Hz width 11 channels,4,5
6,0.65,4.5,1Hz width 11 channels,4,5
7,0.7,4.5,1Hz width 11 channels,4,5
8,0.625,4.5,1Hz width 11 channels,4,5
9,0.7,4.5,1Hz width 11 channels,4,5
10,0.6875,5.5,1Hz width 11 channels,5,6
11,0.725,5.5,1Hz width 11 channels,5,6
12,0.6125,5.5,1Hz width 11 channels,5,6
13,0.625,5.5,1Hz width 11 channels,5,6
14,0.6875,5.5,1Hz width 11 channels,5,6
15,0.7,5.5,1Hz width 11 channels,5,6
16,0.65,5.5,1Hz width 11 channels,5,6
17,0.725,5.5,1Hz width 11 channels,5,6
18,0.65,5.5,1Hz width 11 channels,5,6
19,0.675,5.5,1Hz width 11 channels,5,6
20,0.7125,6.5,1Hz width 11 channels,6,7
21,0.6875,6.5,1Hz width 11 channels,6,7
22,0.675,6.5,1Hz width 11 channels,6,7
23,0.65,6.5,1Hz width 11 channels,6,7
24,0.825,6.5,1Hz width 11 channels,6,7
25,0.675,6.5,1Hz width 11 channels,6,7
26,0.65,6.5,1Hz width 11 channels,6,7
27,0.725,6.5,1Hz width 11 channels,6,7
28,0.65,6.5,1Hz width 11 channels,6,7
29,0.7125,6.5,1Hz width 11 channels,6,7
30,0.6375,7.5,1Hz width 11 channels,7,8
31,0.55,7.5,1Hz width 11 channels,7,8
32,0.6,7.5,1Hz width 11 channels,7,8
33,0.625,7.5,1Hz width 11 channels,7,8
34,0.7,7.5,1Hz width 11 channels,7,8
35,0.55,7.5,1Hz width 11 channels,7,8
36,0.6125,7.5,1Hz width 11 channels,7,8
37,0.5875,7.5,1Hz width 11 channels,7,8
38,0.5875,7.5,1Hz width 11 channels,7,8
39,0.6625,7.5,1Hz width 11 channels,7,8
40,0.625,8.5,1Hz width 11 channels,8,9
41,0.6,8.5,1Hz width 11 channels,8,9
42,0.5375,8.5,1Hz width 11 channels,8,9
43,0.55,8.5,1Hz width 11 channels,8,9
44,0.6625,8.5,1Hz width 11 channels,8,9
45,0.5625,8.5,1Hz width 11 channels,8,9
46,0.6625,8.5,1Hz width 11 channels,8,9
47,0.5625,8.5,1Hz width 11 channels,8,9
48,0.6,8.5,1Hz width 11 channels,8,9
49,0.6,8.5,1Hz width 11 channels,8,9
50,0.75,9.5,1Hz width 11 channels,9,10
51,0.625,9.5,1Hz width 11 channels,9,10
52,0.6375,9.5,1Hz width 11 channels,9,10
53,0.725,9.5,1Hz width 11 channels,9,10
54,0.7625,9.5,1Hz width 11 channels,9,10
55,0.675,9.5,1Hz width 11 channels,9,10
56,0.7,9.5,1Hz width 11 channels,9,10
57,0.6625,9.5,1Hz width 11 channels,9,10
58,0.65,9.5,1Hz width 11 channels,9,10
59,0.625,9.5,1Hz width 11 channels,9,10
60,0.6875,5.5,3Hz width 11 channels,4,7
61,0.725,5.5,3Hz width 11 channels,4,7
62,0.6375,5.5,3Hz width 11 channels,4,7
63,0.65,5.5,3Hz width 11 channels,4,7
64,0.7875,5.5,3Hz width 11 channels,4,7
65,0.6375,5.5,3Hz width 11 channels,4,7
66,0.675,5.5,3Hz width 11 channels,4,7
67,0.6375,5.5,3Hz width 11 channels,4,7
68,0.6125,5.5,3Hz width 11 channels,4,7
69,0.7625,5.5,3Hz width 11 channels,4,7
70,0.75,8.5,3Hz width 11 channels,7,10
71,0.6625,8.5,3Hz width 11 channels,7,10
72,0.6,8.5,3Hz width 11 channels,7,10
73,0.7,8.5,3Hz width 11 channels,7,10
74,0.7375,8.5,3Hz width 11 channels,7,10
75,0.7,8.5,3Hz width 11 channels,7,10
76,0.65,8.5,3Hz width 11 channels,7,10
77,0.675,8.5,3Hz width 11 channels,7,10
78,0.6625,8.5,3Hz width 11 channels,7,10
79,0.675,8.5,3Hz width 11 channels,7,10
80,0.7375,7.0,6Hz width 11 channels,4,10
81,0.675,7.0,6Hz width 11 channels,4,10
82,0.7,7.0,6Hz width 11 channels,4,10
83,0.7125,7.0,6Hz width 11 channels,4,10
84,0.7375,7.0,6Hz width 11 channels,4,10
85,0.6875,7.0,6Hz width 11 channels,4,10
86,0.6875,7.0,6Hz width 11 channels,4,10
87,0.7125,7.0,6Hz width 11 channels,4,10
88,0.675,7.0,6Hz width 11 channels,4,10
89,0.75,7.0,6Hz width 11 channels,4,10
