,accuracy,confusion_matrix
0,0.5840909090909091,"[[121  99]
 [ 84 136]]"
1,0.6475,"[[128  72]
 [ 69 131]]"
2,0.581453634085213,"[[142  58]
 [109  90]]"
3,0.6977329974811083,"[[133  65]
 [ 55 144]]"
4,0.6130653266331658,"[[ 64 136]
 [ 18 180]]"
5,0.6192660550458715,"[[62 52]
 [31 73]]"
6,0.61,"[[135  65]
 [ 91 109]]"
7,0.7825,"[[166  34]
 [ 53 147]]"
8,0.6040100250626567,"[[152  48]
 [110  89]]"
9,0.5477272727272727,"[[118 102]
 [ 97 123]]"
10,0.5295454545454545,"[[ 93 127]
 [ 80 140]]"
11,0.48519362186788156,"[[128  92]
 [134  85]]"
12,0.5835240274599542,"[[119  99]
 [ 83 136]]"
13,0.547945205479452,"[[ 31 189]
 [  9 209]]"
14,0.5038759689922481,"[[60 74]
 [54 70]]"
15,0.5363636363636364,"[[128  92]
 [112 108]]"
16,0.6818181818181818,"[[146  74]
 [ 66 154]]"
17,0.5421412300683371,"[[149  71]
 [130  89]]"
18,0.63,"[[121  79]
 [ 69 131]]"
19,0.525,"[[107 113]
 [ 96 124]]"
20,0.5363408521303258,"[[129  71]
 [114  85]]"
21,0.6221662468513854,"[[101  97]
 [ 53 146]]"
22,0.6206030150753769,"[[ 66 134]
 [ 17 181]]"
23,0.591743119266055,"[[55 59]
 [30 74]]"
24,0.545,"[[107  93]
 [ 89 111]]"
25,0.7075,"[[119  81]
 [ 36 164]]"
26,0.5087719298245614,"[[128  72]
 [124  75]]"
27,0.6040100250626567,"[[142  58]
 [100  99]]"
28,0.4988610478359909,"[[140  80]
 [140  79]]"
29,0.5288220551378446,"[[123  77]
 [111  88]]"
30,0.5984848484848485,"[[157  41]
 [118  80]]"
31,0.5365239294710328,"[[ 22 178]
 [  6 191]]"
32,0.5023041474654378,"[[81 33]
 [75 28]]"
33,0.49874686716791977,"[[134  66]
 [134  65]]"
34,0.6892230576441103,"[[167  33]
 [ 91 108]]"
35,0.5276381909547738,"[[158  42]
 [146  52]]"
36,0.6624685138539043,"[[138  60]
 [ 74 125]]"
37,0.5881006864988558,"[[116 102]
 [ 78 141]]"
38,0.6171284634760705,"[[ 90 108]
 [ 44 155]]"
39,0.6186868686868687,"[[163  35]
 [116  82]]"
40,0.7139240506329114,"[[172  26]
 [ 87 110]]"
41,0.6651162790697674,"[[65 47]
 [25 78]]"
42,0.6120906801007556,"[[133  65]
 [ 89 110]]"
43,0.8035264483627204,"[[156  42]
 [ 36 163]]"
44,0.6161616161616161,"[[110  88]
 [ 64 134]]"
45,0.6105527638190955,"[[ 57 143]
 [ 12 186]]"
46,0.5228310502283106,"[[ 15 205]
 [  4 214]]"
47,0.6859296482412061,"[[169  31]
 [ 94 104]]"
48,0.6020151133501259,"[[197   3]
 [155  42]]"
49,0.7088607594936709,"[[104  94]
 [ 21 176]]"
50,0.49537037037037035,"[[  8 106]
 [  3  99]]"
51,0.6557788944723618,"[[106  94]
 [ 43 155]]"
52,0.6432160804020101,"[[ 68 132]
 [ 10 188]]"
53,0.5768261964735516,"[[ 56 144]
 [ 24 173]]"
54,0.6834862385321101,"[[73 41]
 [28 76]]"
55,0.5116279069767442,"[[65 69]
 [57 67]]"
56,0.555045871559633,"[[48 66]
 [31 73]]"
57,0.511520737327189,"[[74 40]
 [66 37]]"
58,0.6651162790697674,"[[74 38]
 [34 69]]"
59,0.75,"[[76 38]
 [16 86]]"
60,0.5642201834862385,"[[70 44]
 [51 53]]"
61,0.8577981651376146,"[[ 87  27]
 [  4 100]]"
62,0.543778801843318,"[[69 45]
 [54 49]]"
63,0.6325,"[[157  43]
 [104  96]]"
64,0.5454545454545454,"[[121  99]
 [101 119]]"
65,0.5275,"[[110  90]
 [ 99 101]]"
66,0.5614035087719298,"[[120  80]
 [ 95 104]]"
67,0.6246851385390428,"[[125  73]
 [ 76 123]]"
68,0.5326633165829145,"[[ 16 184]
 [  2 196]]"
69,0.536697247706422,"[[72 42]
 [59 45]]"
70,0.6475,"[[107  93]
 [ 48 152]]"
71,0.543859649122807,"[[145  55]
 [127  72]]"
72,0.7775,"[[139  61]
 [ 28 172]]"
73,0.6795454545454546,"[[141  79]
 [ 62 158]]"
74,0.745,"[[132  68]
 [ 34 166]]"
75,0.706766917293233,"[[176  24]
 [ 93 106]]"
76,0.7934508816120907,"[[146  52]
 [ 30 169]]"
77,0.592964824120603,"[[ 45 155]
 [  7 191]]"
78,0.8669724770642202,"[[90 24]
 [ 5 99]]"
79,0.715,"[[153  47]
 [ 67 133]]"
80,0.6791979949874687,"[[128  72]
 [ 56 143]]"
81,0.5964912280701754,"[[141  59]
 [102  97]]"
82,0.5284738041002278,"[[138  82]
 [125  94]]"
83,0.531328320802005,"[[120  80]
 [107  92]]"
84,0.49246231155778897,"[[150  50]
 [152  46]]"
85,0.6237373737373737,"[[135  63]
 [ 86 112]]"
86,0.5818639798488665,"[[ 62 138]
 [ 28 169]]"
87,0.5023041474654378,"[[78 36]
 [72 31]]"
88,0.5288220551378446,"[[132  68]
 [120  79]]"
89,0.7293233082706767,"[[149  51]
 [ 57 142]]"
