,accuracy,confusion_matrix
0,0.575,"[[ 77 123]
 [ 47 153]]"
1,0.512,"[[  6 180]
 [  3 186]]"
2,0.56,"[[ 35 165]
 [ 11 189]]"
3,0.5358974358974359,"[[113  84]
 [ 97  96]]"
4,0.5543859649122806,"[[ 45  86]
 [ 41 113]]"
5,0.49874686716791977,"[[173  27]
 [173  26]]"
6,0.5215189873417722,"[[134  63]
 [126  72]]"
7,0.5714285714285714,"[[138  62]
 [109  90]]"
8,0.51,"[[147  53]
 [143  57]]"
9,0.5275,"[[ 22 178]
 [ 11 189]]"
10,0.592,"[[128  58]
 [ 95  94]]"
11,0.5875,"[[ 61 139]
 [ 26 174]]"
12,0.5025641025641026,"[[ 95 102]
 [ 92 101]]"
13,0.5473684210526316,"[[ 20 111]
 [ 18 136]]"
14,0.518796992481203,"[[ 27 173]
 [ 19 180]]"
15,0.5721518987341773,"[[ 60 137]
 [ 32 166]]"
16,0.6015037593984962,"[[156  44]
 [115  84]]"
17,0.5525,"[[113  87]
 [ 92 108]]"
18,0.5653333333333334,"[[ 51 135]
 [ 28 161]]"
19,0.5626666666666666,"[[ 83 103]
 [ 61 128]]"
20,0.5093333333333333,"[[  2 184]
 [  0 189]]"
21,0.5616438356164384,"[[127  56]
 [104  78]]"
22,0.5653846153846154,"[[ 17 100]
 [ 13 130]]"
23,0.5668449197860963,"[[ 47 139]
 [ 23 165]]"
24,0.5648648648648649,"[[128  55]
 [106  81]]"
25,0.6417112299465241,"[[117  69]
 [ 65 123]]"
26,0.5813333333333334,"[[112  74]
 [ 83 106]]"
27,0.55,"[[ 40 160]
 [ 20 180]]"
28,0.585,"[[ 42 158]
 [  8 192]]"
29,0.504,"[[  0 186]
 [  0 189]]"
30,0.4948717948717949,"[[  2 195]
 [  2 191]]"
31,0.6701754385964912,"[[125   6]
 [ 88  66]]"
32,0.5889724310776943,"[[ 69 131]
 [ 33 166]]"
33,0.5443037974683544,"[[148  49]
 [131  67]]"
34,0.5989974937343359,"[[128  72]
 [ 88 111]]"
35,0.615,"[[135  65]
 [ 89 111]]"
36,0.541025641025641,"[[ 70 127]
 [ 52 141]]"
37,0.5076923076923077,"[[ 87 110]
 [ 82 111]]"
38,0.5232876712328767,"[[114  69]
 [105  77]]"
39,0.5948717948717949,"[[123  74]
 [ 84 109]]"
40,0.49454545454545457,"[[63 65]
 [74 73]]"
41,0.4884318766066838,"[[ 88 109]
 [ 90 102]]"
42,0.5012987012987012,"[[137  57]
 [135  56]]"
43,0.5424164524421594,"[[145  52]
 [126  66]]"
44,0.541025641025641,"[[ 76 121]
 [ 58 135]]"
45,0.5473684210526316,"[[  3 128]
 [  1 153]]"
46,0.5403508771929825,"[[ 15 116]
 [ 15 139]]"
47,0.6038461538461538,"[[ 36  81]
 [ 22 121]]"
48,0.6947368421052632,"[[ 92  39]
 [ 48 106]]"
49,0.5163636363636364,"[[77 51]
 [82 65]]"
50,0.545774647887324,"[[  6 125]
 [  4 149]]"
51,0.55,"[[87 41]
 [85 67]]"
52,0.5563380281690141,"[[117  14]
 [112  41]]"
53,0.5649122807017544,"[[66 65]
 [59 95]]"
54,0.5087719298245614,"[[ 26 174]
 [ 22 177]]"
55,0.5213032581453634,"[[ 40 160]
 [ 31 168]]"
56,0.5187165775401069,"[[ 10 176]
 [  4 184]]"
57,0.5363408521303258,"[[ 33 167]
 [ 18 181]]"
58,0.519280205655527,"[[ 65 132]
 [ 55 137]]"
59,0.545774647887324,"[[  4 127]
 [  2 151]]"
60,0.5279187817258884,"[[ 88 109]
 [ 77 120]]"
61,0.5452261306532663,"[[126  74]
 [107  91]]"
62,0.49874686716791977,"[[109  91]
 [109  90]]"
63,0.5341772151898734,"[[ 61 136]
 [ 48 150]]"
64,0.5544303797468354,"[[ 72 125]
 [ 51 147]]"
65,0.5378378378378378,"[[117  66]
 [105  82]]"
66,0.6430379746835443,"[[145  52]
 [ 89 109]]"
67,0.4987012987012987,"[[ 86 108]
 [ 85 106]]"
68,0.525,"[[73 55]
 [78 74]]"
69,0.5101522842639594,"[[ 64 133]
 [ 60 137]]"
70,0.5456852791878173,"[[186  11]
 [168  29]]"
71,0.5620253164556962,"[[152  45]
 [128  70]]"
72,0.5588972431077694,"[[109  91]
 [ 85 114]]"
73,0.5413533834586466,"[[132  68]
 [115  84]]"
74,0.6363636363636364,"[[139  47]
 [ 89  99]]"
75,0.5588972431077694,"[[ 99 101]
 [ 75 124]]"
76,0.519280205655527,"[[157  40]
 [147  45]]"
77,0.5845070422535211,"[[112  19]
 [ 99  54]]"
78,0.5402010050251256,"[[129  71]
 [112  86]]"
79,0.5812182741116751,"[[108  89]
 [ 76 121]]"
80,0.5639097744360902,"[[186  14]
 [160  39]]"
81,0.5275,"[[170  30]
 [159  41]]"
82,0.5575,"[[120  80]
 [ 97 103]]"
83,0.5733333333333334,"[[109  77]
 [ 83 106]]"
84,0.6025,"[[175  25]
 [134  66]]"
85,0.5,"[[170  27]
 [168  25]]"
86,0.5298245614035088,"[[95 36]
 [98 56]]"
87,0.5137844611528822,"[[ 92 108]
 [ 86 113]]"
88,0.5316455696202531,"[[124  73]
 [112  86]]"
89,0.5263157894736842,"[[159  41]
 [148  51]]"
