,participant,task,classifier,accuracy
0,data_b,imagery_audio_closed,csp,0.717
1,data_b,imagery_audio_closed,parafac,0.695
2,data_b,imagery_audio_open,csp,0.684
3,data_b,imagery_audio_open,parafac,0.677
4,data_b,imagery_text,csp,0.722
5,data_b,imagery_text,parafac,0.897
6,data_b,imagery_visual,csp,0.706
7,data_b,imagery_visual,parafac,0.673
8,data_b,observed_visual,csp,0.678
9,data_b,observed_visual,parafac,0.657
10,data_b,real_audio_closed,csp,1.0
11,data_b,real_audio_closed,parafac,1.0
12,data_b,real_audio_open,csp,1.0
13,data_b,real_audio_open,parafac,1.0
14,data_b,real_text,csp,0.997
15,data_b,real_text,parafac,0.963
16,data_b,real_visual,csp,0.998
17,data_b,real_visual,parafac,0.994
18,data_s,imagery_audio_closed,csp,0.776
19,data_s,imagery_audio_closed,parafac,0.641
20,data_s,imagery_audio_open,csp,0.744
21,data_s,imagery_audio_open,parafac,0.709
22,data_s,imagery_text,csp,0.787
23,data_s,imagery_text,parafac,0.744
24,data_s,imagery_visual,csp,0.841
25,data_s,imagery_visual,parafac,0.886
26,data_s,observed_visual,csp,0.587
27,data_s,observed_visual,parafac,0.648
28,data_s,real_audio_closed,csp,0.825
29,data_s,real_audio_closed,parafac,0.772
30,data_s,real_audio_open,csp,0.984
31,data_s,real_audio_open,parafac,0.846
32,data_s,real_text,csp,0.937
33,data_s,real_text,parafac,0.807
34,data_s,real_visual,csp,0.883
35,data_s,real_visual,parafac,0.782
