,participant,task,diff
0,data_b,imagery_audio_closed,0.022
1,data_b,imagery_audio_open,0.007
2,data_b,imagery_text,-0.175
3,data_b,imagery_visual,0.033
4,data_b,observed_visual,0.021
5,data_b,real_audio_closed,0.0
6,data_b,real_audio_open,0.0
7,data_b,real_text,0.034
8,data_b,real_visual,0.004
9,data_s,imagery_audio_closed,0.135
10,data_s,imagery_audio_open,0.035
11,data_s,imagery_text,0.043
12,data_s,imagery_visual,-0.045
13,data_s,observed_visual,-0.061
14,data_s,real_audio_closed,0.053
15,data_s,real_audio_open,0.138
16,data_s,real_text,0.13
17,data_s,real_visual,0.101
