,task,classifier,accuracy
0,imagery_audio_closed,csp,0.746
1,imagery_audio_closed,parafac,0.668
2,imagery_audio_open,csp,0.714
3,imagery_audio_open,parafac,0.693
4,imagery_text,csp,0.754
5,imagery_text,parafac,0.82
6,imagery_visual,csp,0.774
7,imagery_visual,parafac,0.78
8,observed_visual,csp,0.633
9,observed_visual,parafac,0.653
10,real_audio_closed,csp,0.912
11,real_audio_closed,parafac,0.886
12,real_audio_open,csp,0.992
13,real_audio_open,parafac,0.923
14,real_text,csp,0.967
15,real_text,parafac,0.885
16,real_visual,csp,0.94
17,real_visual,parafac,0.888
