,accuracy,frequency,configuration,frequency_start,frequency_end
0,0.65,7.0,1Hz width 11 channels,4,10
1,0.6375,7.0,1Hz width 11 channels,4,10
2,0.6375,7.0,1Hz width 11 channels,4,10
3,0.6875,7.0,1Hz width 11 channels,4,10
4,0.7125,7.0,1Hz width 11 channels,4,10
5,0.7,7.0,1Hz width 11 channels,4,10
6,0.675,7.0,1Hz width 11 channels,4,10
7,0.6625,7.0,1Hz width 11 channels,4,10
8,0.6125,7.0,1Hz width 11 channels,4,10
9,0.675,7.0,1Hz width 11 channels,4,10
10,0.725,7.0,3Hz width 11 channels,4,10
11,0.7,7.0,3Hz width 11 channels,4,10
12,0.7,7.0,3Hz width 11 channels,4,10
13,0.725,7.0,3Hz width 11 channels,4,10
14,0.75,7.0,3Hz width 11 channels,4,10
15,0.7,7.0,3Hz width 11 channels,4,10
16,0.6875,7.0,3Hz width 11 channels,4,10
17,0.7125,7.0,3Hz width 11 channels,4,10
18,0.6,7.0,3Hz width 11 channels,4,10
19,0.7,7.0,3Hz width 11 channels,4,10
20,0.7375,7.0,6Hz width 11 channels,4,10
21,0.675,7.0,6Hz width 11 channels,4,10
22,0.7,7.0,6Hz width 11 channels,4,10
23,0.7125,7.0,6Hz width 11 channels,4,10
24,0.7375,7.0,6Hz width 11 channels,4,10
25,0.6875,7.0,6Hz width 11 channels,4,10
26,0.6875,7.0,6Hz width 11 channels,4,10
27,0.7125,7.0,6Hz width 11 channels,4,10
28,0.675,7.0,6Hz width 11 channels,4,10
29,0.75,7.0,6Hz width 11 channels,4,10
